Код товара,Автор,Название,Обложка,Рейтинг,Стикеры,Наличие,Цена,Издательство\Производитель:,Год издания\производства:,Место издания\производства:,Язык текста:,Тип обложки:,Обрез:,Иллюстраторы:,Формат:,Размеры в мм (ДхШхВ):,Вес:,Страниц:,Тираж:,Код товара:,ISBN:,В продаже с:,Описание,Тиснение:,Футляр:,Бумага:,Артикул:,Иллюстрации:,Возраст:,Язык оригинала:,Перевод:,Редактор/составитель:
564553,Достоевский Ф. М.,Преступление и наказание,https://www.moscowbooks.ru/image/book/355/w259/i355030.jpg,0,,True,144,Азбука; Азбука-Аттикус,2011,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,325 гр.,672,7000 экз.,564553,978-5-389-02279-9,19.05.2011,"Включенный во все школьные и вузовские программы, неоднократно экранизированный, роман Достоевского ""Преступление и наказание"" не перестает быть одним из самых ярких и ""краеугольных"" произведений русской и мировой литературы.",,,,00000018092,,,,,
574915,Достоевский Ф. М.,Записки из подполья,https://www.moscowbooks.ru/image/book/361/w259/i361870.jpg,0,,True,120,Азбука; Азбука-Аттикус,2011,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,130 гр.,256,5000 экз.,574915,978-5-389-02280-5,25.07.2011,"""Записки из подполья"" — увертюра Достоевского к его пятикнижию; в повести нашли свое выражение великие прозрения художника-мыслителя; здесь впервые в русской литературе сформулированы основы философии экзистенциализма. ""Записки из подполья"" — повесть точно поставленных вопросов и точно найденных интонаций. Боль пронизывает слово героя, оно бьется в стремительных перепадах его настроений, в бесконечных волнениях, в тягостных переживаниях и в неразрешимых тупиках.",,,,00000018093,,,,,
575445,Фицджеральд Ф. С.,По эту сторону рая,https://www.moscowbooks.ru/image/book/362/w259/i362218.jpg,0,,True,128,Азбука; Азбука-Аттикус,2012,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,160 гр.,320,5000 экз.,575445,978-5-389-02376-5,28.07.2011,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах «Великий Гэтсби», «Ночь нежна», «Последний магнат» и других Фицджеральд сумел наиболее ярко и точно выразить настроения «века джаза», отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом. Предлагаем вниманию читателей первый роман писателя, незамедлительно обеспечивший молодому гению почетное место на вершинах литературного олимпа. Перед читателем разворачивается история самовлюбленного тщеславного аристократа, вынужденного пройти суровую школу Первой мировой войны, роковым образом изменившей его судьбу. Разочарование в любви, бедность и множество горьких неудач помогают Эмори Блейну осознать истинную ценность жизни, протекающую «по эту сторону рая».",,,,А0000000234,,,английский,Лорие М.,
584603,Достоевский Ф. М.,Дневник писателя,https://www.moscowbooks.ru/image/book/368/w259/i368008.jpg,0,,True,144,Азбука; Азбука-Аттикус,2011,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,230 гр.,464,5000 экз.,584603,978-5-389-02806-7,26.09.2011,"Знал ли Достоевский, когда создавал свой ""Дневник писателя"", что это будет произведение, актуальное на все времена?",,,,А0000000581,,,,,
585315,Достоевский Ф. М.,Униженные и оскорбленные,https://www.moscowbooks.ru/image/book/368/w259/i368479.jpg,0,,True,120,Азбука; Азбука-Аттикус,2013,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,210 гр.,432,3000 экз.,585315,978-5-389-02646-9,29.09.2011,"Роман «Униженные и оскорбленные» (1861) создавался Ф.М. Достоевским в эпоху необычайного подъема русской общественной жизни — в эпоху, когда публикация нового литературного произведения воспринималась как событие социально значимое. Так было воспринято и появление романа «Униженные и оскорбленные». После его выхода в свет Н. А. Добролюбов отвел Достоевскому самое почетное место в «гуманистическом» направлении русской литературы. Многое в этом романе читателям казалось необычным: перед ними была поставлена новая этико-социальная проблема — проблема эгоизма. Князь Валковский, разворачивающий на страницах романа свою циническую «философию жизни», стал первым в творчестве писателя героем-«идеологом», предшественником Человека из подполья, Раскольникова, Свидригайлова и других героев Достоевского 1860—1870-х гг.",,,,А0000000470,,,,,
624863,Достоевский Ф. М.,Белые ночи. 4 уровень. 9-е издание,https://www.moscowbooks.ru/image/book/392/w259/i392601.jpg,0,,True,216,Златоуст,2012,СПб,русский,Мягкая обложка,,,60х90 1/16,215x145,85 гр.,72,1000 экз.,624863,978-5-86547-555-2,17.05.2012,"Вашему вниманию предлагается книга из серии ""Библиотека Златоуста"". Серия включает адаптированные тексты для 5 уровней владения русским языком: произведения классиков русской литературы, современных писателей, публицистов, журналистов, а также киносценарии. Уровни ориентируются на лексические минимумы, разработанные для Российской государственной системы тестирования по русскому языку. Каждый выпуск снабжен вопросами, заданиями и словарем, в который вошли слова, выходящие за пределы минимума.",,,,9785865475552,,,,,
649639,Достоевский Ф. М.,Идиот,https://www.moscowbooks.ru/image/book/407/w259/i407645.jpg,0,,True,144,Азбука; Азбука-Аттикус,2012,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,445 гр.,640,15000 экз.,649639,978-5-389-04730-3,26.10.2012,"""Главная идея... — писал Ф. М. Достоевский о своем романе ""Идиот"", — изобразить положительно-прекрасного человека. Труднее этого нет ничего на свете…"" Не для того ли писатель явил миру ""князя-Христа"", чтобы мы не забывали: ""Страдание есть главнейший и, может быть, единственный закон бытия всего человечества"".",,,,А0000003474,,,,,
654218,Достоевский Ф. М.,Преступление и наказание,https://www.moscowbooks.ru/image/book/410/w259/i410286.jpg,0,,True,144,Азбука; Азбука-Аттикус,2013,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,430 гр.,608,15000 экз.,654218,978-5-389-04926-0,22.11.2012,"Одно из ""краеугольных"" произведений русской и мировой литературы, включенный во все школьные и университетские программы, неоднократно экранизированный роман Достоевского ""Преступление и наказание"" ставит перед читателем важнейшие нравственно-мировоззренческие вопросы — о вере, совести, грехе и об искуплении через страдание. Опровержение преступной ""идеи-страсти"", ""безобразной мечты"", завладевшей умом Родиона Раскольникова в самом ""умышленном"" и ""фантастическом"" городе на свете, составляет основное содержание этой сложнейшей, соединившей в себе несколько различных жанров книги. Задуманный как ""психологический отчет одного преступления"", роман Достоевского предстал перед читателем грандиозным художественно-философским исследованием человеческой природы, христианской трагедией о смерти и воскресении души.",,,,А0000003840,,,,,
654222,Фицджеральд Ф. С.,Ночь нежна,https://www.moscowbooks.ru/image/book/410/w259/i410278.jpg,5,,True,144,Азбука; Азбука-Аттикус,2012,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,205 гр.,416,50003 экз.,654222,978-5-389-04764-8,22.11.2012,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах ""По ту сторону рая"", ""Великий Гэтсби"", ""Последний магнат"" и других Фицджеральд сумел наиболее ярко и точно выразить настроения ""века джаза"", отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом.",,,,А0000003355,,,английский,Калашникова Е.,
655534,Фицджеральд Ф. С.,Ночь нежна,https://www.moscowbooks.ru/image/book/411/w259/i411135.jpg,0,,True,144,Азбука; Азбука-Аттикус,2013,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,320 гр.,416,15000 экз.,655534,978-5-389-04936-9,29.11.2012,"Фрэнсис Скотт Фицджеральд принадлежит к числу самых крупных прозаиков США XX века. В своих романах ""По ту сторону рая"", ""Великий Гэтсби"", ""Последний магнат"" и других Фицджеральд сумел наиболее ярко и точно выразить настроения ""века джаза"", отмеченного парадным оптимизмом и взвинченной тягой к потреблению, века, завершившегося в 1929 году сильнейшим экономическим кризисом. Не стал исключением и его роман ""Ночь нежна"", который писатель называл ""самым любимым своим произведением"".",,,,А0000003854,,,английский,Калашникова Е.,
673755,Достоевский Ф. М.,Записки из Мертвого дома,https://www.moscowbooks.ru/image/book/422/w259/i422720.jpg,0,,True,128,Азбука-Аттикус; Авалонъ,2013,СПб,русский,Мягкая обложка,,,76х100 1/32,180x115,185 гр.,384,3000 экз.,673755,978-5-389-05533-9,26.03.2013,"""Записки из Мёртвого дома"" — одна из вершин творческого наследия Ф. М. Достоевского — основаны на жизненной истории: это ужасные воспоминания Достоевского, приговорённого сначала к расстрелу за участие в революционном кружке, но вместо смертной казни сосланного в Омский острог, где он пробыл с 1850 до 1854 года, всё это время закованный в кандалы и в соседстве с каторжниками. Вспоминания это соседство, писатель говорит: ""Ничего нет ужаснее, как жить не в своей среде..."" С другой стороны, эти четыре года не в своей среде развили литературные способности Достоевского: в лучших романах, появившихся после ""Мёртвого дома"", чувствуется, что никто другой не умеет с такой силой передать трагичность тех или иных людских переживаний и отношений. Лев Толстой, ревниво следивший за творчеством современных ему литераторов, как-то признался, перечитав ""Мёртвый дом"": ""Я не знаю лучше книги изо всей новой литературы, включая Пушкина"".",,,,А0000004425,,,,,
691987,Достоевский Ф. М.,Бесы,https://www.moscowbooks.ru/image/book/434/w259/i434489.jpg,0,,True,176,Эксмо,2013,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,375 гр.,768,4000 экз.,691987,978-5-699-57660-9,26.07.2013,"Роман ""Бесы"" Ф. М. Достоевского — одно из величайших достижений мировой культуры — точно и глубоко обозначивший разломы грядущих социальных катастроф. Первая мировая война, русская революция, глобальная катастрофа Второй мировой и наши дни, подтвердили его пророчества о том, что ждет общество, отменившее веками существовавшие нравственные основания на которых оно и стоит.",,,,ITD000000000201818,,,,,
696494,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/436/w259/i436665.jpg,0,Идея подарка,True,697,Азбука; Азбука-Аттикус,2013,СПб,русский,Твердый переплет (ткань),,,70х84 1/32,,325 гр.,1056,5000 экз.,696494,978-5-389-05878-1,27.08.2013,"Имя Ф. М. Достоевского стало одним из символов культуры конца XIX — начала ХХ века. Он сумел сформулировать самые сущностные, самые глубинные вопросы человеческого бытия: чем движим человек, в чем его вера, каково направление его поисков? Он создал особый тип романа, которому трудно подобрать исчерпывающее определение — психологический, социально-философский, идеологический, полифонический, — настолько многомерны произведения писателя.",,,,А0000004701,,,,,
703939,Достоевский Ф. М.,Бесы,https://www.moscowbooks.ru/image/book/441/w259/i441345.jpg,0,,True,144,Азбука; Азбука-Аттикус,2013,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,485 гр.,704,10000 экз.,703939,978-5-389-06010-4,10.10.2013,"Уже были написаны «Записки из Мертвого дома», «Записки из подполья», «Преступление и наказание», «Идиот» и другие шедевры, а Достоевский все еще испытывал острое чувство неудовлетворенности и, по собственному признанию, только подбирался к главному своему произведению. В 1871—1872 годах выходит его шестой роман с вызывающим и символическим названием «Бесы». Увлекательная драма, захватывающий сюжет, бушующие страсти и чрезвычайные, дикие события «под стеклянным колпаком» провинциального города, — таково одно из величайших произведений не только русской, но и мировой литературы.",,,,А0000005015,,,,,
708413,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/444/w259/i444390.jpg,0,,True,144,Азбука; Азбука-Аттикус,2014,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,550 гр.,832,15000 экз.,708413,978-5-389-06657-1,07.11.2013,"Последний, самый объемный и один из наиболее известных романов Ф. М. Достоевского обращает читателя к вневременным нравственно-философским вопросам о грехе, воздаянии, сострадании и милосердии. Книга, которую сам писатель определил как ""роман о богохульстве и опровержении его"", явилась попыткой ""решить вопрос о человеке"", ""разгадать тайну"" человека, что, по Достоевскому, означало ""решить вопрос о Боге"". Сквозь призму истории провинциальной семьи Карамазовых автор повествует об извечной борьбе Божественного и дьявольского в человеческой душе. Один из самых глубоких в мировой литературе опытов отражения христианского сознания, ""Братья Карамазовы"" стали в ХХ веке объектом парадоксальных философских и психоаналитических интерпретаций.",,,,А0000006777,,,,,
721423,Достоевский Ф. М.,Записки из Мертвого дома,https://www.moscowbooks.ru/image/book/452/w259/i452079.jpg,0,,True,144,Азбука; Азбука-Аттикус,2014,СПб,русский,Твердый переплет,,,84х108 1/32,200x130,335 гр.,416,15000 экз.,721423,978-5-389-06888-9,22.01.2014,"""Записки из Мертвого дома"" созданы Ф. М. Достоевским на основе его воспоминаний о заключении в Омском остроге",,,,А0000007202,,,,,
726985,Роулинг Дж. К.,Гарри Поттер и Философский камень,https://www.moscowbooks.ru/image/book/454/w259/i454685.jpg,1,Идея подарка,True,487,Махаон; Азбука-Аттикус,2014,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,475 гр.,432,35000 экз.,726985,978-5-389-07435-4,21.02.2014,Важные отличия нового издания книг о Гарри Поттере от предыдущего — знаменитый перевод Марии Спивак и новое современное оформление.,,,,А0000007533,,11 +,английский,Спивак М.,
734262,Достоевский Ф. М.,Братья Карамазовы. В 3 томах,https://www.moscowbooks.ru/image/book/458/w259/i458910.jpg,0, ,True,13598,,2014,Москва,русский,Кожаный переплет,,,60х84 1/16,200x145,3000 гр.,1343,1000 экз.,734262,978-5-7827-0154-3,09.04.2014,"Самый сложный, самый многоуровневый и неоднозначный из романов Достоевского, который критики считали то ""интеллектуальным детективом"", то ""ранним постмодернизмом"", то — ""лучшим из произведений о загадочной русской душе"".",,,,,,,,,
736390,Роулинг Дж. К.,Случайная вакансия,https://www.moscowbooks.ru/image/book/460/w259/i460122.jpg,0,,True,208,Азбука; Азбука-Аттикус,2014,СПб,русский,Мягкая обложка,,,75х100 1/32,180x115,295 гр.,608,15000 экз.,736390,978-5-389-07987-8,21.04.2014,В Пэгфорде на сороковом году жизни скоропостижно скончался член местного совета Барри Фейрбразер. Это событие повергло горожан в шок.,,,,А0000007898,,,английский,Петрова Е.,
737035,Роулинг Дж. К.,Гарри Поттер и Тайная комната,https://www.moscowbooks.ru/image/book/460/w259/i460421.jpg,0,Идея подарка,True,487,Махаон; Азбука-Аттикус,2014,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,515 гр.,480,30000 экз.,737035,978-5-389-07781-2,25.04.2014,Волшебство продолжается!,,,,А0000007867,,11 +,английский,Спивак М.,
739253,Фицджеральд Ф. С.,Прекрасные и проклятые,https://www.moscowbooks.ru/image/book/461/w259/i461412.jpg,0,,True,144,Азбука; Азбука-Аттикус,2014,СПб,русский,Мягкая обложка,,,75х100 1/32,180x115,235 гр.,480,7000 экз.,739253,978-5-389-07838-3,08.05.2014,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — «века джаза», стоит особняком в современной",,,,А0000007941,,,английский,Щенникова В.,
747850,Роулинг Дж. К.,Гарри Поттер и узник Азкабана,https://www.moscowbooks.ru/image/book/466/w259/i466300.jpg,0,Идея подарка,True,487,Махаон; Азбука-Аттикус,2014,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,560 гр.,528,30000 экз.,747850,978-5-389-07788-1,03.07.2014,"Гарри взрослеет, и вместе с тем жить в Хогвартсе всё страшнее. Из тюрьмы для волшебников Азкабан сбежал опасный преступник — Сириус Блэк. Мир наполнился слухами, что он ищет и хочет убить одного тринадцатилетнего парня, совсем обычного на первый взгляд. Его имя Гарри Поттер.",,,,А0000008337,,11 +,английский,Спивак М.,
754387,Фрай М.,Мастер ветров и закатов,https://www.moscowbooks.ru/image/book/471/w259/i471085.jpg,0,,True,384,АСТ,2014,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,420 гр.,384,33000 экз.,754387,978-5-17-087268-8,19.08.2014,"Самый популярный автор начала ХХ1 века Макс Фрай дарит своим поклонникам новую серию книг! Таким образом, фантастические повести о приключениях Сэра Макса, работника Тайного Сыска в городе Ехо ""Лабиринты Ехо"" и ""Хроники Ехо"", пополнилась очередным шедевром — ""Сновидения Ехо"".",,,,AST000000000170254,,,,,
758869,Фицджеральд Ф. С.,Три часа между рейсами,https://www.moscowbooks.ru/image/book/474/w259/i474122.jpg,0,,True,128,Азбука; Азбука-Аттикус,2014,СПб,русский,Мягкая обложка,,,75х100 1/32,180x115,180 гр.,368,5000 экз.,758869,978-5-389-08684-5,11.09.2014,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Его романы ""Великий Гэтсби"" и ""Ночь нежна"" повлияли на формирование новой мировой литературной традиции XX столетия. Однако Фицджеральд также известен как автор блестящих рассказов, из которых на русский язык переводилась лишь небольшая часть (наиболее классические из них представлены в сборнике ""Загадочная история Бенджамина Баттона""). Книга ""Три часа между рейсами"" — уже четвертая из нескольких запланированных к изданию, после ""Новых мелодий печальных оркестров"", ""Издержек хорошего воспита ния"" и ""Успешного покорения мира"", — призвана исправить это досадное упущение. Итак, вашему вниманию предлагаются тридцать пять рассказов зрелого Фицджеральда — полное собрание рассказов, опубликованных в последние пять лет его жизни в прославленном журнале ""Эсквайр"".",,,,А0000008651,,,английский,Дорогокупля В.,
763253,Роулинг Дж. К.,Гарри Поттер и Кубок Огня,https://www.moscowbooks.ru/image/book/477/w259/i477099.jpg,0,Идея подарка,True,588,Махаон; Азбука-Аттикус,2015,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,610 гр.,704,30000 экз.,763253,978-5-389-07789-8,08.10.2014,"Книга, покорившая мир, эталон литературы для читателей всех возрастов, синоним успеха. Книга, сделавшая Дж. К. Роулинг самым читаемым писателем современности. Книга, ставшая культовой уже для нескольких поколений. ""Гарри Поттер и Кубок Огня"" — история продолжается.",,,,А0000008817,,11 +,английский,Спивак М.,
769276,Фицджеральд Ф. С.,Последний магнат,https://www.moscowbooks.ru/image/book/480/w259/i480711.jpg,0,,True,144,Азбука; Азбука-Аттикус,2015,СПб,русский,Твердый переплет,,,84х-108 1/32,,380 гр.,512,10000 экз.,769276,978-5-389-09042-2,17.11.2014,"Фрэнсис Cкотт Фицджеральд, возвестивший миру о начале нового века — «века джаза», стоит особняком в современной американской классике. Его книгами зачитывались при жизни, их экранизировал Голливуд, он главный персонаж светских хроник и притча во языцех у современников. Прошло время, схлынула пена дней, забылись эксцентрические выходки и скандалы, остались его произведения — подлинные бриллианты в литературе всех времен и народов, повлиявшие на формирование новой мировой литературной традиции XX столетия. В настоящий сборник вошел последний роман Фицджеральда «Последний магнат», а также лучшие рассказы автора, каждый из которых — настоящий шедевр короткой прозы.",,,,А0000008943,,,английский,Архангельская И.,
782918,Достоевский Ф. М.,Собрание сочинений. В 10 томах,https://www.moscowbooks.ru/image/book/489/w259/i489022.jpg,0, ,True,119064,,1956,"Москва, Ленинград",русский,Кожаный переплет,Рисованный,,84х108 1/32,200x130,8100 гр.,,,782918,,11.02.2015,С о д е р ж а н и е: Том 1. Бедные люди. Двойник. Роман в девяти письмах. Хозяйка. Ползунков. Господин Прохарчин. Слабое сердце. Честный вор. Елка и свадьба. Чужая жена и муж под кроватью.,Углубленное тиснение (красочное плоскоуглубленное изображение),,Офсетная,,,,,,
785577,Достоевский Ф. М.,Идиот,https://www.moscowbooks.ru/image/book/490/w259/i490321.jpg,0,,True,168,АСТ,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,300 гр.,640,5000 экз.,785577,978-5-17-087885-7,26.02.2015,Величайший роман Достоевского.,,,,ASE000000000702015,,,,,
786593,Фицджеральд Ф. С.,Великий Гэтсби,https://www.moscowbooks.ru/image/book/490/w259/i490661.jpg,0,,True,144,АСТ,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,190 гр.,256,7000 экз.,786593,978-5-17-088830-6,03.03.2015,«Бурные» двадцатые годы прошлого столетия…,,,,ASE000000000705144,,,английский,Алукард С.,
791885,Фрай М.,"Ветры, ангелы и люди",https://www.moscowbooks.ru/image/book/493/w259/i493890.jpg,0,,True,384,АСТ,2015,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,385 гр.,416,4000 экз.,791885,978-5-17-089303-4,01.04.2015,"Удивительная книга! Макс Фрай берет вас в путешествие по странным, загадочным и таким, казалось бы, привычным местам. Прочтите, мир станет другим. И этот другой мир больше вас не отпустит...",,,,ASE000000000706698,,,,,
794404,Роулинг Дж. К.,Гарри Поттер и Дары Смерти,https://www.moscowbooks.ru/image/book/495/w259/i495208.jpg,0,Идея подарка,True,588,Махаон; Азбука-Аттикус,2015,Москва,русский,Твердый переплет,,,84х108 1/32,200x130,695 гр.,704,40000 экз.,794404,978-5-389-07792-8,14.04.2015,"Книга, покорившая мир, эталон литературы, синоним успеха. Книга, ставшая культовой уже для нескольких поколений. «Гарри Поттер и Дары Смерти» — финал истории.",,,,А0000009817,,11 +,английский,Спивак М.,
794704,Достоевский Ф. М.,Преступление и наказание,https://www.moscowbooks.ru/image/book/495/w259/i495426.jpg,4,,True,160,Эксмо,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,335 гр.,672,5000 экз.,794704,978-5-17-090630-7,16.04.2015,"""Преступление и наказание"" (1866) — одно из самых значительных произведений в истории мировой литературы. Это и глубокий философский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не ""тварь дрожащая"", а ""право имеет"". Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину.",,,,ASE000000000703427,,,,,
795888,"Стругацкий А. Н., Стругацкий Б. Н.",Понедельник начинается в субботу,https://www.moscowbooks.ru/image/book/496/w259/i496339.jpg,0,,True,588,Издательский дом Мещерякова; АСТ,2015,Москва,русский,Твердый переплет,,Мигунов Евгений Тихонович,84х108 1/32,200x130,525 гр.,320,5000 экз.,795888,"978-5-17-089082-8,978-5-91045-753-3",24.04.2015,"""Понедельник начинается в субботу"" (1965) — фантастическая юмористическая повесть братьев Стругацких, одно из наиболее своеобразных воплощений советской утопии 1960-х годов, художественная реализация мечты авторов о возможности для современного талантливого человека сосредоточиться на научном творчестве и познании тайн Вселенной.",,,,ASE000000000705949,,,,,
797517,"Стругацкий А. Н., Стругацкий Б. Н.",Пикник на обочине,https://www.moscowbooks.ru/image/book/497/w259/i497681.jpg,0,,True,184,АСТ,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,175 гр.,256,5000 экз.,797517,978-5-17-088647-0,12.05.2015,"Пожалуй, в истории современной мировой фантастики найдется не так много произведений, которые оставались бы популярными столь долгое время. Повесть послужила основой культового фильма Тарковского ""Сталкер""; через три десятилетия появились не менее культовая компьютерная игра с тем же названием и целая серия повестей и романов, написанных с использованием мира ""Пикника"".",,,,ASE000000000704438,,,,,
798904,Достоевский Ф. М.,Маленький герой,https://www.moscowbooks.ru/image/book/498/w259/i498640.jpg,0,,True,1190,БуКос,2014,Москва,русский,Твердый переплет с окрашенным обрезом + футляр,,,53х76 мм,76x53,70 гр.,171,3000 экз.,798904,978-5-98015-051-8,21.05.2015,"Переплет ручной работы, рисованный обрез, подарочная коробка",,,,70417,,,,,
799460,Стругацкий А. Н.,Понедельник начинается в субботу,https://www.moscowbooks.ru/image/book/498/w259/i498998.jpg,0,,True,192,АСТ,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,215 гр.,320,5000 экз.,799460,978-5-17-090334-4,26.05.2015,"«Понедельник начинается в субботу. Сказка для научных работников младшего возраста» — под таким заголовком в 1965 году вышла книга, которой зачитывались и продолжают зачитываться все новые и новые поколения. Герои ее, сотрудники НИИЧАВО, — Научно-исследовательского института Чародейства и Волшебства, — маги и магистры, молодые энтузиасты, горящие желанием познать мир и преобразовать его наилучшим образом. На этом пути их ждет множество удивительных приключений и поразительных открытий. Машина времени и изба на курьих ножках, выращивание искусственного человека и усмирение выпущенного из бутылки джинна — читатель не заскучает!",,,,ASE000000000709823,,,,,
802260,Достоевский Ф. М.,Бесы,https://www.moscowbooks.ru/image/book/500/w259/i500422.jpg,0,,True,168,АСТ,2015,Москва,русский,Мягкая обложка,,,76х100 1/32,180x115,410 гр.,768,5000 экз.,802260,978-5-17-090413-6,11.06.2015,"""Бесы"" (1871-1872 гг.) — наверное, самый пророческий роман Достоевского. Изначально задуманный как острополитическая вещь, основанная на впечатлениях писателя от ""нечаевского процесса"": группу революционеров судили за убийство студента, решившего выйти из их кружка, — роман далеко перерос просто произведение на ""злобу дня"". На глазах у читателей разворачивается настоящая драма: в центре повествования — группа нигилистов во главе с Петром Верховенским, планирующая поднять смуту по всей России. У главного же героя романа Николая Ставрогина — своя тайна, свой страшный грех и своя большая беда — он совершенно опустошен, и жизнь уже не представляет для него никакого интереса. События в романе проносятся вихрем перед читателем, запутываются в какой-то чудовищный клубок и в результате разрешаются трагедией. Настоящее в романе Достоевского тесно связано с прошлым: он видит истоки нигилистических настроений у детей в их отцах-идеалистах, совершенно не знающих России. Но уникальность ""Бесов"" еще и в том, что на примере этих персонажей Достоевский живописует всю Россию, одержимую бесами, — вчера, сегодня, завтра безумие преследует нас.",,,,ASE000000000710017,,,,,
804626,Достоевский Ф. М.,Село Степанчиково и его обитатели,https://www.moscowbooks.ru/image/book/502/w259/i502426.jpg,0,,True,120,Азбука; Азбука-Аттикус,2015,СПб,русский,Мягкая обложка,,,75х100 1/32,180x115,130 гр.,256,5000 экз.,804626,978-5-389-10002-2,26.06.2015,"Молодой человек, выпускник Петербургского университета, получает странное письмо от своего дяди, полковника в отставке, владельца села Степанчикова. И вот юноша приезжает в имение дяди и узнает, что все в доме, включая хозяев, вынуждены исполнять капризы приживальщика Фомы Фомича Опискина... Образ российского Тартюфа занимал Достоевского в те годы, когда он находился в сибирской ссылке. Получив в 1857 году полную амнистию и разрешение публиковаться, писатель взялся за этот сюжет. Он возлагал на повесть большие надежды, рассчитывая укрепить свое положение в литературе. Однако современниками она была встречена прохладно; намного позднее, когда о творчестве Достоевского можно было судить ретроспективно, его ранняя повесть стала чрезвычайно популярной, а имя главного героя — нарицательным. В образе Фомы Фомича Опискина угадываются герои последующего творчества Достоевского, болезненно переживающие свое униженное положение и вместе с тем переполненные амбициями.",,,,А0000009960,,,,,
806393,Достоевский Ф. М.,Братья Карамазовы,https://www.moscowbooks.ru/image/book/503/w259/i503228.jpg,0, ,True,5016,,2013,,русский,Кожаный переплет,Рисованный,,70х84 1/32,,375 гр.,1056,,806393,,10.07.2015,"Имя Ф. М. Достоевского стало одним из символов культуры конца XIX — начала ХХ века. Он сумел сформулировать самые сущностные, самые глубинные вопросы человеческого бытия: чем движим человек, в чем его вера, каково направление его поисков? Он создал особый тип романа, которому трудно подобрать исчерпывающее определение — психологический, социально-философский, идеологический, полифонический, — настолько многомерны произведения писателя.",Углубленное тиснение (красочное плоскоуглубленное изображение),,Офсетная,,,,,,
